,count,mean,std,min,25%,50%,75%,max,correlation_with_spike
future_price_increase,5651.0,24.747704854547628,305.48478472365355,5.000060866282426,5.97625346693511,7.459482864573862,11.344132739265808,14792.99521567458,0.9999999999999998
spike_duration,5651.0,45.938064059458505,13.962518235358184,1.0,38.0,50.0,58.0,60.0,-0.08278472534531793
initial_price,5651.0,0.001280708197828249,0.0044730879102863165,3.7315006734476937e-06,6.366080673645079e-05,0.0002794256894277,0.000858465233629,0.0774609540785919,-0.0067987087282903045
final_price,5651.0,0.002459119184130585,0.007938909465341357,6.974936759681112e-06,0.0001673041159194,0.0005221262475825,0.0018312108954538,0.1499833843583675,0.1718222286571668
price_change_1m,5651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
volatility_1m,5651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
high_1m,5651.0,0.002459119184130585,0.007938909465341357,6.974936759681112e-06,0.0001673041159194,0.0005221262475825,0.0018312108954538,0.1499833843583675,0.1718222286571668
low_1m,5651.0,0.002459119184130585,0.007938909465341357,6.974936759681112e-06,0.0001673041159194,0.0005221262475825,0.0018312108954538,0.1499833843583675,0.1718222286571668
range_1m,5651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
price_change_3m,5651.0,32.621533183894776,59.290819703694986,-97.55560703386396,5.493019997781379,18.24296093792079,35.55609246557627,1016.627175641924,-0.006244950833815458
volatility_3m,5651.0,0.1175338852969062,0.1260033999035651,0.0,0.04972060534247972,0.08527816035962496,0.1347317485772237,1.3035563599118187,-0.006886628072540047
high_3m,5651.0,0.0025355827885145373,0.008424462978150301,6.974936759681112e-06,0.0001742331880415,0.0005535121876486,0.0018312108954538,0.1500369142099172,0.1730303602600713
low_3m,5651.0,0.001983753101739476,0.007312601054901869,4.368757625284864e-06,0.0001376110773174,0.0004313132521314,0.00141864841841565,0.1488896731510152,0.16535907060738922
range_3m,5651.0,0.0005518296867750615,0.002922193085248894,0.0,2.7309553100449995e-05,8.434518675159985e-05,0.0003539738127066,0.1356801799264195,0.08503303604410117
price_change_5m,5651.0,51.885874643917404,86.79141037770364,-29.011264218850986,14.477719114789878,31.761436357570673,63.129098312486235,1542.3653589807118,0.007756118015825032
volatility_5m,5651.0,0.15897215955001628,0.13932005036283235,0.0,0.0797216180625178,0.12578929629713723,0.1966239433551827,1.6176779519317073,0.007784715609585376
high_5m,5651.0,0.0025584411618336865,0.008475444465267538,6.974936759681112e-06,0.0001744704725215,0.000568303246572,0.0018312108954538,0.1500369142099172,0.17184846098255702
low_5m,5651.0,0.0018066330560531476,0.007096724129090517,4.308154820269704e-06,0.0001181442650693,0.0003797256313207,0.0013216035545944,0.1480159302337649,0.11918422402276474
range_5m,5651.0,0.0007518081057805388,0.0031470771199517042,0.0,4.7611190157400014e-05,0.00014682147105050003,0.0005269883428248,0.1368442708692895,0.1940449838990417
price_change_10m,5651.0,827.8296056479279,14282.325538126477,-32.58325631226313,29.47016434109122,64.41585875251079,117.88648397973276,287361.3869943817,0.7692490171558402
volatility_10m,5651.0,0.23628186934067152,0.1697898772560486,0.00146375202037628,0.12626040711738226,0.18783135229226458,0.28465494317767465,2.205171860561894,0.17470780418479603
high_10m,5651.0,0.0025675444650109036,0.008484086247483653,7.952690007001527e-06,0.000175515329588,0.000568303246572,0.0018312108954538,0.1500369142099172,0.17161526961875997
low_10m,5651.0,0.0013548794387566658,0.0044500212460925745,3.7315006734476937e-06,7.33943545375402e-05,0.0002940998304203,0.0009315565081967,0.0708630922820664,-0.007496599608231634
range_10m,5651.0,0.0012126650262542376,0.004941232118463076,8.465704441000088e-07,7.13983334411e-05,0.00025328625830700006,0.0008519727872473,0.1368442708692895,0.30141445304618714
price_change_15m,5651.0,1174.3702274238583,19663.054372353457,-75.4977205412735,48.36906187633997,93.09220012733384,198.40754077828296,395625.81944957067,0.7694604572891747
volatility_15m,5651.0,0.29387066689898433,0.204314854979335,0.005040650272538182,0.15968356522398533,0.2366012331965748,0.3661512911947229,2.3760363809004343,0.21623027460100291
high_15m,5651.0,0.002573008544780845,0.00848561057206277,8.697705177577239e-06,0.0001803904299934,0.000568303246572,0.001846734216237,0.1500369142099172,0.17167517379439107
low_15m,5651.0,0.0011453512586261398,0.00416987491125367,3.7315006734476937e-06,5.3067354123811104e-05,0.0002398505038585,0.0007281169861786,0.0708630922820664,-0.007417829170045884
range_15m,5651.0,0.0014276572861547051,0.005108244604625511,1.7284050747149592e-06,8.571284555136213e-05,0.0003062078924597573,0.0009972553331312,0.1368442708692895,0.29123509240638695
rsi_14,5651.0,74.69484570378371,12.575420761066814,26.257924238362634,67.16975286466521,73.90077801098745,83.75743170720303,100.0,0.059857805982464964
rsi_7,5651.0,64.62847523895641,24.618009758764256,0.0,50.13995047407714,66.05029687683005,83.00994263653482,100.0,0.05818042921599059
rsi_5,5651.0,66.06101200581328,26.433205338110533,0.0,48.981867282307704,67.92793587077674,89.21056504362156,100.0,0.0519817087127377
rsi_change,5651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
sma_5,5651.0,0.00213466566786345,0.007554223187605237,5.33540311257637e-06,0.00014703414373366,0.00045489791795291995,0.00151795025237322,0.14908734586986544,0.1598117420835099
sma_10,5651.0,0.00188747920179274,0.0066555628442733685,6.106335006289708e-06,0.00011749277630010808,0.00040428415070966,0.00136831250569516,0.13028249178861576,0.09014652841506833
sma_15,5651.0,0.0017206719305728727,0.005962175220411604,5.55850313209927e-06,0.00010523117073104928,0.00036752016701711333,0.00126119794628384,0.11287651868653716,0.06528048250099495
momentum_1m,5651.0,0.00021795484312333075,0.0010719720518770402,-0.010325379611896904,1.8368109508840483e-06,2.9712063919910356e-05,0.0001276033649548,0.0135073142253333,-0.08982036265366335
momentum_5m,5651.0,0.0006312970829001015,0.002152640443890202,-0.0027232045078224992,2.9895144708876576e-05,0.00012885712657599992,0.00047065240142790004,0.0343284154792026,0.6093097342661307
momentum_15m,5651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
trend_strength,5651.0,0.051486125713549276,0.04391273110464364,-0.18360885030383975,0.023385083591471362,0.04461333036332029,0.06666651769035661,0.2738759844840045,0.2041138671426359
price_acceleration,5651.0,9.047773451463316e-06,6.667419157020111e-05,-0.0006793315872348232,-5.68462417927619e-07,1.3693047768230788e-06,7.07885381306923e-06,0.0007259041726814999,-0.1107801248255283
volatility_ratio,5651.0,0.7290402133445792,0.3627970147646581,0.0,0.4674528644227129,0.6735977777120398,0.9520638886761491,1.7035364642720718,-0.04115793446597705
volatility_change,5651.0,5920224494312.451,141724770690785.62,-1.0,-0.3572801396154843,0.02493052350019921,0.998978241643245,8268752979280182.0,-0.0023883700303784353
price_range_ratio,5651.0,0.9866651484517491,0.6687159087421576,0.01783470501325574,0.5605944306662735,0.8121361563742225,1.208512971921409,9.68399224248315,0.1567900612787433
upper_shadow_ratio,5651.0,0.03911010926315097,0.7526157342832863,0.0,0.0,0.0,0.021629464563649902,39.9099524443792,0.0016531637561213047
lower_shadow_ratio,5651.0,0.29342384459285364,0.17815673451578046,0.0,0.16252951440794924,0.26320088839388445,0.4081775903188534,0.9391122082226196,0.020896217366728444
twap_5m,5651.0,0.002221950079273897,0.007656411549267076,5.506445929947524e-06,0.0001490743142382467,0.0004789188471365133,0.0015955134701788997,0.14941841906322295,0.16937194667343322
vwap_ratio,5651.0,1.5762981727403285,0.5273122056668306,0.24058193494175284,1.2499575339347289,1.4285054170503413,1.6967113390573345,6.231337735028912,0.13414725443323602
